est,se,tval,pval,pgs_thresh,net
-0.0123253238824407,0.00894081413693366,-1.37854603548081,0.168066618644181,prs_1.0,cingulo-opercular
-0.026021202193118,0.00940249250360527,-2.76747917460615,0.00565989508074545,prs_1.0,visual
-0.00613945590488332,0.00947762219551566,-0.647784410291034,0.517139761495573,prs_1.0,parietal
-0.0206133502455658,0.0090795265072172,-2.27031114774327,0.0232105907646818,prs_1.0,motor
-0.0172958909009337,0.00897191248957281,-1.92778194404315,0.0539114720446321,prs_1.0,prefrontal
-0.00619565135676929,0.00904784291788628,-0.684765574844518,0.493508255132662,prs_1.0,limbicA
-0.00579849233589219,0.0093913061169692,-0.617431937972383,0.536964383337025,prs_1.0,limbicB
-0.0135351524596329,0.00894101774387882,-1.51382682009543,0.130102413186512,prs_0.5,cingulo-opercular
-0.0271883699785421,0.00940255579265907,-2.89159358137168,0.00384146603554902,prs_0.5,visual
-0.00709450115929943,0.00947796066808657,-0.748526123682647,0.454161058247667,prs_0.5,parietal
-0.0204258281532348,0.00907996070745242,-2.24955028015377,0.0244998819721814,prs_0.5,motor
-0.0183359143496631,0.00897208491057352,-2.04366259709094,0.0410138996585005,prs_0.5,prefrontal
-0.00733309942002565,0.00904814395634572,-0.810453442761898,0.417699534674288,prs_0.5,limbicA
-0.00666958020580073,0.00939165002418036,-0.710160641487789,0.477621630317292,prs_0.5,limbicB
-0.0119912997015347,0.0089451990113992,-1.34052911357855,0.180104841648479,prs_0.1,cingulo-opercular
-0.0198441536090534,0.00940861253665165,-2.10914771245491,0.0349574428887406,prs_0.1,visual
-0.00236854473320255,0.00948239467014353,-0.249783394975132,0.802760161415938,prs_0.1,parietal
-0.0168175446365572,0.00908474104220881,-1.8511859125561,0.064173246956991,prs_0.1,motor
-0.0162570535771402,0.00897646692427817,-1.81107485988398,0.0701602460270412,prs_0.1,prefrontal
-0.00565142014419115,0.0090522689623787,-0.624309791023499,0.532438866573795,prs_0.1,limbicA
-0.00301049575453562,0.00939599695174872,-0.320401950957991,0.74867056187933,prs_0.1,limbicB
-0.01485056444693,0.00895651791150123,-1.65807343810032,0.0973350423111308,prs_0.05,cingulo-opercular
-0.0222955890250437,0.00942042034671009,-2.36672974288563,0.0179655976838991,prs_0.05,visual
-0.00446243127329163,0.00949478241264707,-0.469987734247355,0.63837436731376,prs_0.05,parietal
-0.0127151564200624,0.00909737582499267,-1.39767298445897,0.162243315876783,prs_0.05,motor
-0.0168071174393233,0.00898816679022491,-1.86991606092601,0.0615256329382611,prs_0.05,prefrontal
-0.00436422613063775,0.00906424292634475,-0.481477180841365,0.630188276735689,prs_0.05,limbicA
0.000759933926242145,0.00940839555258894,0.080771893782998,0.935625030165151,prs_0.05,limbicB
